american actress;american actress
british music manager;scottish manager
italian seismologist;italian archaeologist
microbial protein found in streptococcus suis bm407;microbial protein found in the royal cricketer
english footballer;english footballer
painting by tintoretto;painting by eug\\u00e8ne boudin
american musician and pianist;american musician
united states army medal of honor recipient;united states marine corps medal of honor recipient
german politician;german politician
american librarian;american librarian
italian actress and model;italian actress
british politician;british politician
american actor of stage;american actor
american actor;american actor
russian ice hockey player;russian ice hockey player
american anthropologist;american economist
iranian linguist;iranian linguist
italian actor and film director;italian film director
natural number;number
australian politician;australian politician
polish writer;historian
bishop of the ukrainian orthodox church;ukrainian priest
encyclopedic article;encyclopedic article
sports shooter;swiss and sports protein (annotated by uniprotkb/swiss-prot and manager
human protein (annotated by uniprotkb/swiss-prot q5xla6);human protein (annotated by uniprotkb/swiss-prot architect
german chamberlain;german corps series historian
hanover s-bahn station;station
minor planet;asteroid
czech member of czech council and educator;czech serial activist
cyclist;cyclist
municipality of spain;municipality in the community of region
footballer;footballer
american baseball player;american baseball player
member of legislative assembly;indian politician
german politician and member of the free democratic party;german politician
mouse gene;mouse gene
footballer;french association football player
american musician and journalist;american journalist
rest area;russian social reformer
australian  politician;australian australian politician
american football player;american football player
mouse gene;mouse gene
microbial protein found in staphylococcus epidermidis atcc 12228;microbial protein found in staphylococcus epidermidis atcc 12228
japanese announcer;japanese announcer
australian rules footballer;australian rules footballer
german actor;german actress
former municipality in austria;austrian municipality in austria
japanese-american historian;american historian
french volleyball player;french volleyball player
american film director;american writer
estonian basketball player;russian basketball player
american theologian;american clergyman and writer
indian musician;actor
english pianist and composer;english composer
american physicist;american physicist
academic;egyptian lawyer
french canadian filmmaker;french film and film director
association football player;czech soccer player
romanian association football player;romanian footballer
argentine footballer;argentine footballer
association football club;stadium
french cellist;french cellist
english footballer and manager;english former footballer
indian politician;indian politician
microbial protein found in [bacillus thuringiensis] serovar konkukian str. 97-27;microbial protein found in [bacillus thuringiensis] serovar konkukian str. 97-27
dominican republic baseball player;american baseball player
new zealand artist;american painter
italian singer-songwriter;italian singer-songwriter
single by romina falconi;single from and member of france
tunisian musicians;greek composer
german journalist;german journalist
soviet military personnel;soviet general
nigerian photographer;american artist
microbial protein found in rhodospirillum rubrum atcc 11170;microbial protein found in rhodospirillum rubrum atcc 11170
son of muammar gaddafi;scottish noble
italian ski mountaineer;italian singer
austrian builder (1848-1925);austrian germanist
american writer;american journalist
microbial protein found in salmonella enterica subsp. enterica serovar typhimurium str. lt2;microbial protein found in salmonella enterica subsp. enterica serovar typhimurium str. lt2
class of 46 electric locomotives;class of 20 australian french the french french businessman
austrian liedermacher;austrian writer and journalist
canadian ice hockey player;canadian ice hockey player
german politician and bank teller;german politician
defunct association football club;women catholic club
american chemist;austrian chemist
russian heimatforscher;russian historian
commune in indre;commune in loir-et-cher
hotel in new york city;former town in actor
american soccer player;american soccer player
municipality of spain;municipality in the community of madrid
italian association football player;italian footballer
microbial protein found in flavobacterium psychrophilum jip02/86;microbial protein found in flavobacterium psychrophilum jip02/86
german writer;german writer
american actor;actor actor actor actor from television actor actor association actor actor actor association actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor actor
russian psychiatrist;russian artist
british artist;scottish poet
american skeleton racer;polish journalist
jamaican track and field sprinter;argentine sprinter
italian painter;italian painter
major league baseball first baseman;american baseball player
road in bois de vincennes;commune in alpes-maritimes
rest area;city and in turkey
israeli biblical scholar and linguist;israeli poet
finnish musician (1909-1958);finnish musician
french poet;french poet
album by hypocrisy;album by the actress
governing body of association football in haiti.;church
cypriot footballer;georgian footballer
soviet association football player;russian footballer
asteroid;asteroid
american humanitarian;general
scientific article;scientific article
microbial protein found in enterococcus faecalis v583;microbial protein found in enterococcus faecalis v583
mexican rapper;mexican journalist
spanish politician;spanish politician
south african rugby union player;rugby player
speed skater from soviet union;soviet olympic speed skater
italian footballer;italian association football player
english writer and illustrator;british writer
spanish historian;spanish writer
fantasy novel;novel by journalist
mouse protein (annotated by uniprotkb/swiss-prot p70371);human protein (annotated by uniprotkb/swiss-prot wrestler
 bishop of taunton;british politician
1980 air supply song;single by force member of buckinghamshire
czech soccer player;association football player
south korean footballer;footballer
british artist;scottish illustrator
lithuanian sculptor;english sculptor
brazilian lawyer;brazilian lawyer
scientific article;scientific article
german actor;german actress
australian politician;australian politician
urban sculpture in spain.;painting by voice painter
chilean footballer;chilean politician
norwegian illustrator;norwegian film and artist
italian comune;italian comune
moroccan association football player;moroccan association football player
novel by stefan zweig;novel by german member
german association football player;german footballer
german lawyer;german lawyer
russian luger;russian professional footballer
microbial protein found in mycobacterium abscessus;microbial protein found in mycobacterium abscessus
italian footballer;association football player
mouse protein (annotated by uniprotkb/swiss-prot q64700);mouse protein (annotated by uniprotkb/swiss-prot q02246)
microbial protein found in lactococcus lactis subsp. lactis il1403;microbial protein found in lactococcus lactis subsp. lactis il1403
french oncologist;french painter and in textile literature
cyclist;cyclist
olympic alpine skier;polish alpine writer
street in maartensdijk;street in maartensdijk
spanish painter (1910-2003);spanish painter (1929-2001)
microbial protein found in leptospira interrogans serovar lai str. 56601;microbial protein found in leptospira interrogans serovar lai str. 56601
kazakhstani cross-country skier;kazakhstani cross-country skier
erasure song;and song by united states
american actress;actor
lithuanian teacher;lithuanian teacher
houbraken: (1652-1663);dutch india
athletics competitor;olympic athlete
publication of speech given by john morgan m.d. at the college of philadelphia in 1765;united states book by john journalist
mouse gene;mouse gene
french engineer;french engineer
norwegian nordic skier;norwegian writer
german librarian and theologian;german librarian and librarian
algerian footballer;footballer
scientific article;scientific article
english footballer;english footballer
french civil servant and politician;french politician
belgian politician;belgian politician
italian american anarchist executed by massachusetts;italian politician and former irish orientalist
highway in pennsylvania;highway in pennsylvania
critic and writer;russian writer
american musician;actress
painting by heinrich hansen;painting by dutch political association football player
german association football player;german footballer
mouse protein (annotated by uniprotkb/swiss-prot p97371);mouse protein (annotated by uniprotkb/swiss-prot lawyer
microbial protein found in sinorhizobium meliloti 1021;microbial protein found in sinorhizobium meliloti 1021
burkinabe footballer;egyptian footballer
weightlifter;olympic weightlifter
species of plant;species of actor
poet and consort to emperor taizong of tang;poet
french department;commune in alpes-maritimes
american poet;american writer
soviet metallurgist;soviet actor and architect
brazilian footballer and manager;brazilian footballer
microbial protein found in francisella tularensis subsp. tularensis schu s4;microbial protein found in francisella tularensis subsp. tularensis schu s4
swiss alpine skier;spanish alpine skier and journalist
english footballer;footballer
british journalist;british journalist
swedish priest;swedish priest
anchor/reporter:kgw newschannel 8/nbc affiliate/portland/oregon;american television presenter
american actor;american actor
mouse gene;mouse gene
british songwriter;british painter
american painter;italian painter
american biologist;united states general
encyclopedic article;encyclopedic article
commune in rh\\u00f4ne;commune in c\\u00f4te-d'or
english general;scottish bishop and politician
bosnia and herzegovina politician;soviet politician
television film;1993 film
american volleyball player;american volleyball player
italian comune;italian comune
greek politician;greek politician
german politician and farmer;german politician
austrian art collector;austrian art collector
english surgeon;english surgeon
ophthalmologist;japanese ophthalmologist
54-40 album;album by country of the roman catholic album
italian association football manager and association football player;footballer
american painter;american artist
main-belt asteroid;main-belt asteroid
taiwanese politician;politician in member
swiss writer;swiss writer
american television personality;american clergyman
english cricketer;english cricketer
japanese announcer;japanese announcer
mouse gene;mouse gene
journalist;american poet
portuguese lawyer and politician;the french beach of italy
mountain;mountain
indonesian politician;indonesian politician
brazilian footballer and manager;brazilian footballer
french painter;french painter
photo sharing and discovery application;major house by novel
ship class;lawyer and the farmer
german author;german journalist and author
american composer;american composer
sculpture by thomas ustick walter;sculpture in coach
portuguese infanta;american of of national
yemeni politician;politician
american engineer;american clergyman
ship;racing driver
microbial protein found in yersinia pestis co92;microbial protein found in yersinia pestis co92
football stadium;scottish engraver
bishop of poznan;czech bishop
british musician;irish singer-songwriter
belarusian handball player;soviet handball player
french architect;architect from france
chinese photographer;chinese filmmaker
english naval officer;english footballer
english businessman and politician;british politician
american football coach;english actor and playwright
musher;musher
brazilian footballer;brazilian association football player
hungarian politician;hungarian politician
french violinist;french musician
american architect;american architect
road bicycle racer;road bicycle racer
german politician;german politician
malaysian politician;politician
british actor and television presenter;british actor
russian/ukrainian writer;japanese novelist
french film production company;french street
finnish writer;finnish journalist
french journalist;french journalist
microbial protein found in leptospira interrogans serovar lai str. 56601;microbial protein found in leptospira interrogans serovar lai str. 56601
american illustrator;american illustrator
italian association football player;association german association football player
human gene;human gene
village in hungary;village in hungary
association footballer;american association football player
german association football player;german footballer
french journalist;french journalist
scientific article;scientific article
canton of france;canton
italian footballer;italian association football player
mouse protein (annotated by uniprotkb/swiss-prot q9d0m5);mouse protein (annotated by uniprotkb/swiss-prot association
american basketball player;born in 1971
county in oregon;county in in london
2002 horror film;2009 film
number;number
russian ice hockey player;american ice hockey player
chef;soviet television presenter and the french actor
1976 film;2008 film
serbian footballer;footballer
polish sportsperson;polish sportsperson
german officer;german officer and officer
iranian scientist and historian;iranian historian
american softball player;american softball player
australian soccer player;australian footballer
polish circumnavigating sailor;polish writer
brazilian martial artist;brazilian artist
american midwife and activist;american canadian and field actor
dutch actress;dutch actor
marketer and former singer;american vocalist
italian painter;italian writer
asteroid;asteroid
italian computer scientist;italian cricketer
hong kong speed skater;canadian speed skater
venezuelan association football player;venezuelan footballer
german handball player;german handball player
encyclopedic article;encyclopedic article
british musician;american church and guitarist
american scientist;major league and microbial scientist
television series;the film
television series;episode of the german tv series
american football wide receiver;american football player
chinese politician;painting by australian comedian
album;member of slovak parliament
italian architect and teacher;italian architect
german footballer;german footballer
r5 album;english anglican by field english
japanese association football player;japanese footballer
english footballer;former association football player
british comics writer best known for his work on 2000 ad and crisis;british writer
microbial protein found in mycobacterium abscessus;human protein (annotated by uniprotkb/trembl lawyer
scientific article;scientific article
scientific article;scientific article
singer;french singer
asteroid;asteroid
swedish politician;swedish politician
finnish architect;finnish and architect
german entrepreneur;german entrepreneur
japanese politician;australian politician
turkish footballer;turkish association football player
swedish association football player;swedish association football player
japanese actor and musician;japanese actress
municipality in j\\u00e4mtland county;municipality in the municipality of producer
square in paris;street in paris
belgian politician;belgian politician
turkish female tennis player;turkish tennis player
football player;uruguayan footballer
spanish journalist;spanish journalist
english cricketer;english cricketer
german author and historian;german writer
microbial protein found in bacillus anthracis str. sterne;microbial protein found in australian comedian
italian screenwriter;italian actor
ukrainian soldier (1977-2015);ukrainian military director
japanese novelist;japanese novelist
italian writer;italian writer
1995 american film;film
pontifical academy promoting the latin language and culture;sea the french sea musician
iranian translator and writer;iranian translator
american football player and coach;american football player
chinese painter;chinese artist
american conductor;american conductor
uruguayan politician;uruguayan politician
city in greenbrier county;city in arkansas
finnish ice hockey player;finnish ice hockey player
327th strip of the webcomic xkcd;978th strip of the webcomic xkcd
american photographer;artist
german scholar;german church historian
american actress;american actress
british writer;british writer
swiss artist;swiss painter
wife of the maharaja of lahore;indian political general
spanish bicycle racer;spanish association football player and racing cyclist
microbial protein found in vibrio parahaemolyticus rimd 2210633;microbial protein found in vibrio parahaemolyticus rimd 2210633
human protein (annotated by uniprotkb/swiss-prot q9bwh6);human protein (annotated by uniprotkb/swiss-prot q6nut3)
mouse protein (annotated by uniprotkb/swiss-prot p70295);mouse protein (annotated by uniprotkb/swiss-prot q9et80)
french journalist;french journalist
member of the parliament of england for downton;english politician
human protein (annotated by uniprotkb/swiss-prot p35251);human protein (annotated by uniprotkb/swiss-prot politician
american illustrator;american actress
american television journalist;american journalist
french musician;french composer
french magistrate (1920-2004);french field hockey player
democratic republic of the congo politician;dominican actor and from for the french film
mouse gene;mouse gene
czech bassguitarist;slovak roman from flying musician
scottish rugby union player;rugby player
brazilian journalist;brazilian politician
human gene;human gene
russian male sprinter;russian businessman
swedish writer;swedish writer
japanese pop singer;japanese actress
italian politician;italian politician
american ice hockey player;american ice hockey player
polo player;norwegian player
uruguayan footballer;russian footballer
french politician;french politician
russian ballet dancer;russian ballet dancer
austrian writer (1733-1819);austrian writer
egyptian footballer;footballer
microbial protein found in vibrio fischeri es114;microbial protein found in vibrio fischeri es114
french politician;scottish politician
norwegian scientist;norwegian greek and professor
french engineer and politician;french politician
iraqi poet;comedian
finnish pes\\u00e4pallo player;finnish pes\\u00e4pallo player
human gene;human gene
fictional planet in the star wars universe;painting
handball player;iranian handball player
shipping magnate;argentine businessperson
american composer;composer
genus of fungi;genus of fungi
brazilian architect;brazilian architect
american banker;american railway and player
association footballer;association football player
species of fungus;species of fungus
italian presbyter and writer;italian writer
british writer;english english politician
county in ontario;county in american baseball county
french architect;french architect
musical by stephen schwartz (music and lyrics) and winnie holzman (book);scottish comedy actress
painting by albert bierstadt;painting by albert bierstadt
scientific article;scientific article
hungarian cobbler (1892-1919);sculptor
microbial protein found in [pseudomonas syringae] pv. tomato str. dc3000;microbial protein found in [pseudomonas syringae] pv. tomato str. dc3000
2011 hindi film;television film
microbial protein found in haemophilus influenzae rd kw20;microbial protein found in haemophilus influenzae rd kw20
baseball player;american baseball player
chinese artist;painter
portuguese association football player;portuguese by footballer
county in illinois;county in south carolina
italian politician;italian politician
song by breed 77;song by silent in lawyer
human protein (annotated by uniprotkb/swiss-prot q7z4n2);human protein (annotated by uniprotkb/swiss-prot field
microbial protein found in chloroflexus aurantiacus j-10-fl;microbial protein found in chloroflexus aurantiacus j-10-fl
american businessman;american activist
canadian oceanographer;canadian businessman
american musician;american singer-songwriter
painting by harold giese;painting by odilon redon
jamaican actor;actor
spanish composer;spanish classical guitarist
romanian tennis player;romanian tennis player
singer-songwriter;canadian musician
german actor and musician;german actress
asteroid;asteroid
new zealand surgeon;new zealand surgeon
painting by claude monet;painting painting painting painting painting painting painting painting painting painting painting by painting by olle b\\u00e6rtling
japanese actress;japanese actor
iranian defense minister;iranian politician
olympic wrestler;olympic wrestler
german politician;german politician
mouse protein (annotated by uniprotkb/swiss-prot p62876);mouse protein (annotated by uniprotkb/swiss-prot politician
american actor;american actress
olympic field hockey player;australian field hockey player
canadian politician;canadian politician
commune in loz\\u00e8re;commune in musician
american painter;american artist
french politician;french politician
microbial protein found in rhodobacter sphaeroides 2.4.1;microbial protein found in rhodobacter sphaeroides 2.4.1
human protein (annotated by uniprotkb/swiss-prot p06401);human protein (annotated by uniprotkb/swiss-prot q9nyb9)
market town in the metropolitan borough of barnsley;english novelist
american air force general;united states general
american actress;american stage and film actor
microbial protein found in enterococcus faecium do;microbial protein found in enterococcus faecium do
indian choreographer;indian dancer
novel by jack williamson;novel by poet
number;number
austrian painter and graphic artist;austrian painter
painting by johannes lingelbach;painting by graphic di painting by painter and french sys
german jurist;german jurist
german journalist and publisher;german journalist
microbial protein found in enterococcus faecium do;microbial protein found in enterococcus faecium do
timber framed house;house in the church
microbial protein found in klebsiella pneumoniae subsp. pneumoniae hs11286;microbial protein found in klebsiella pneumoniae subsp. pneumoniae hs11286
brazilian footballer and manager;brazilian footballer
persian poet;japanese poet
german winemaker and poet;german writer
chinese basketball player;chinese basketball player
soviet painter (1911-1941);soviet painter and painter
american boxer;american boxer
brazilian volleyball player;architect
microbial protein found in bradyrhizobium diazoefficiens usda 110;microbial protein found in bradyrhizobium diazoefficiens usda 110
north korean distance runner;swedish athletics competitor
encyclopedic article;encyclopedic article
painting by henri robbe;painting by painting by catherine austrian
print by albrecht d\\u00fcrer from the series great passion;professional musician
human gene;human gene
olympic wrestler;swedish footballer
canadian ice hockey player;canadian ice hockey player
american architect;american architect
german philosopher and university teacher;german philosopher and historian
american actor;german actor and television actor
albanian footballer;albanian footballer
cardinal;politician american cardinal
recipient of the knight's cross;german telecommunications officer
german officer and knight's cross recipient;german clergyman
english cricketer;cricketer
german historian of modern age;german historian of modern age
commune in ialomi\\u021ba county;commune in manager
austrian painter and engraver;austrian engraver
encyclopedic article;encyclopedic article
british politician;british politician
scientific article;scientific article
song by celia cruz;painting by comedy film
american politician;american politician
microbial protein found in bacillus subtilis subsp. subtilis str. 168;microbial protein found in bacillus subtilis subsp. subtilis str. 168
canadian hornist;musician
uruguayan footballer;uruguayan footballer
player of american football;american football player
japanese seiy\\u016b;japanese seiy\\u016b
british ethnologist;english composer and philosopher
microbial protein found in salinibacter ruber dsm 13855;human protein (annotated by uniprotkb/swiss-prot sport
spanish footballer;spanish footballer
character in the west wing;fictional character
new zealand rugby union footballer;rugby union player
argentinian painter;argentinian painter
mixed martial artist;mexican association football player
italian association football player;footballer
canadian poet;canadian poet
microbial protein found in rhodospirillum rubrum atcc 11170;microbial protein found in rhodospirillum rubrum atcc 11170
american decathlete;masters athlete
american musician;american entrepreneur
scientific article;scientific article
spanish footballer;spanish footballer
american and canadian football player;american football player
french economist;french journalist
rugby union player;rugby union player
microbial protein found in chlamydia trachomatis d/uw-3/cx;microbial protein found in chlamydia trachomatis d/uw-3/cx
american politician;american politician
municipality of germany;municipality in bavaria
french politician;french politician
british politician;british politician
turkish artist;turkish missionary
footballer;footballer
tunisian poet;tunisian poet
microbial protein found in escherichia coli o104:h4 str. 2011c-3493;microbial protein found in escherichia coli o104:h4 str. 2011c-3493
album;album by the delgados
finnish priest;finnish priest and priest
turkish politician;turkish politician
german judge;german judge
swedish actress;swedish actress
berlin u-bahn station;poet
american physician and anatomist;american physician and a shipping and record composer
dutch television presenter;dutch painter
german painter;german painter
afghan politician;afghan politician
microbial protein found in peptoclostridium difficile 630;microbial protein found in peptoclostridium difficile 630
british singer-songwriter;english composer
commune in marne;commune in gers
pope;australian politician and priest
german merchant and entrepreneur;german politician
american baseball player;american baseball player
2013 film;film
czech soccer player;czech footballer
argentine footballer;argentine footballer
microbial protein found in streptococcus sanguinis sk36;microbial protein found in streptococcus sanguinis sk36
british botanist;irish botanist
municipality of spain;municipality in spain
brazilian footballer;brazilian association football player
polish actress;american actress
german politician;german politician
swiss association football player;association football player
swiss egyptologist;swiss art historian
dutch footballer;dutch association football player
turkish politician;turkish politician
french sculptor and journalist;french journalist
microbial protein found in amycolatopsis mediterranei u32;microbial protein found in amycolatopsis mediterranei u32
american baseball player and coach;american baseball player
family of bryozoans;family of plants
dutch football player;dutch association football player
municipality in valencia;municipality in the state of s\\u00e3o paulo in brazil
russian footballer;russian footballer
microbial protein found in streptococcus agalactiae 2603v/r;microbial protein found in streptococcus agalactiae 2603v/r
austrian film director and film editor;film director
footballer;footballer
footballer;brazilian footballer
canton of france;canton of france
medal of honor recipient;medal of honor recipient
subway station on the cta blue line in chicago;railway station
british judge;english justice
etruscan funerary urn in mus\\u00e9e du louvre;painting by painter and hong
painting by frans hals;painting by member of indian
polish poet;historian
french businessman;french politician
american movie director;television film
mexican singer;mexican singer
microbial protein found in klebsiella pneumoniae subsp. pneumoniae hs11286;microbial protein found in klebsiella pneumoniae subsp. pneumoniae hs11286
german businessman and art collector;german art engineer
japanese actor;japanese actor
japanese writer;japanese novelist
japanese actor;japanese actress
french politician;french politician
1992 film;television and film
microbial protein found in rhodospirillum rubrum atcc 11170;microbial protein found in rhodospirillum rubrum atcc 11170
british painter;italian painter
italian comune;commune in musician
drawing by jean-l\\u00e9on g\\u00e9r\\u00f4me;painting by greek scottish spanish poet
english politician;english politician
microbial protein found in burkholderia mallei atcc 23344;microbial protein found in burkholderia mallei atcc 23344
english cricketer;english cricketer
fourth studio album released by the japanese boy group news;album by the american rock politician
rower;dutch rower
libyan revolutionary;member of french writer
indian high court judge & arbitrator;indian judge
american politician;american politician
american economist;american economist
negro league baseball player;american baseball player
danish archbishop;danish archbishop
american ice hockey defenceman;american ice hockey player
canadian politician and merchant;canadian politician
norwegian writer;norwegian writer
commune in seine-maritime;commune in nord
article in otto's encyclopedia;article in otto's encyclopedia
british mathematician;english mathematician and philosopher
margravine of brandenburg-bayreuth;german prince
rower;australian rower
polish economist;polish economist
bishop of thetford;american academic
french painter;french painter
american scholar:modern japanese literature/award-winning literary translator:modern and contemporary japanese poetry/fiction.;american translator
american politician;american politician
french war correspondent and resistance member;french journalist
commune in alpes-de-haute-provence;commune in aude
human gene;human gene
american screenwriter;singer
german non-fiction writer and university teacher;german writer
spanish comics artist (1939-1977);spanish comics artist
japanese shogun;japanese actress
german architect;german architect
cricketer;english cricketer
liechtenstein alpine skier;australian greek canadian actress
wife of terence james macswiney;italian general
german judge;german judge
canadian freestyle skier;canadian businessman
a long-range  surface-to-air missile;english korean businessman
deputy executive director and assistant secretary-general for the un-habitat;mayor of dublin
soviet actor (1943-1997);latvian actor
russian diplomat;russian diplomat
genus of fungi;genus of fungi
italian opera singer;opera singer and by singer-songwriter
german sculptor;german sculptor
american actor;american actor
monument in baltimore;painting by and opera by opera singer
artist;russian painter and author
genus of fungi;genus of fungi
member of the new jersey general assembly;american politician
actress;american actor
microbial protein found in leptospira interrogans serovar lai str. 56601;microbial protein found in leptospira interrogans serovar lai str. 56601
english politician;english politician
american poet;american poet
freedom fighter;english politician
pharmaceutical drug;of ancient fiction by fiction australian by american by uniprotkb/trembl of english clergyman
microbial protein found in sinorhizobium fredii ngr234;microbial protein found in sinorhizobium fredii ngr234
television film;2014 film
scientific article;scientific article
british biologist;british professor
armenian chess grandmaster;czech chess player
film director;indian film director
italian actor;italian actor
american mobster;american murderer
french scientist and writer;french journalist
canadian puppeteer;american church
japanese footballer;japanese footballer
american writer;writer
botanist;united states
the wife of hassan ibn thabit;american academic
norwegian politician;norwegian politician
german politician;german politician
star in the northern constellation of gemini;painting by pioneer olympic noblewoman
american journalist;american journalist
street in paris;street in paris
british television presenter;irish basketball
french ski jumper and functionary;french painter
greek rally driver;greek artist
british journalist;british politician
japanese actor;japanese actress
village in \\u00dast\\u00ed nad labem county of \\u00dast\\u00ed nad labem region;village in \\u00dast\\u00ed nad county of south bohemian region
microbial protein found in deinococcus radiodurans r1;microbial protein found in deinococcus radiodurans r1
sculptor;dutch historian and sculptor
german manager;german manager
armenian judoka;olympic sports shooter.
irish footballer;irish footballer
japanese actor;japanese actress
german cultural historian and literary historian;german historian
french politician;french politician
species of plant;species of plant
finnish architect;finnish architect
spanish writer;spanish writer
performance artist;american priest
article in otto's encyclopedia;article in otto's encyclopedia
american baseball player;american baseball player
asteroid;asteroid
sport shooter;american racing cyclist
american canoeist;american canoeist
cryptographic library;c. album
american composer;american composer
mexican mob boss;mexican educator
czechoslovak tennis player;american tennis player
human gene;human gene
street in roosendaal;street in paris
scottish footballer;scottish scottish footballer
human protein (annotated by uniprotkb/swiss-prot q86wu2);human protein (annotated by uniprotkb/swiss-prot q00325)
commune in nord;commune in architect
french actress;french actor
microbial protein found in streptococcus agalactiae 2603v/r;microbial protein found in streptococcus agalactiae 2603v/r
borough in southeastern luzerne county;village in actor
